FileName;Diet;ShortName
GSM3561725_NC_mouse_liver-1.CEL;NC;NC.1
GSM3561726_NC_mouse_liver-2.CEL;NC;NC.2
GSM3561727_NC_mouse_liver-3.CEL;NC;NC.3
GSM3561728_NC_mouse_liver-4.CEL;NC;NC.4
GSM3561730_HFD_mouse_liver-1.CEL;HFD;HFD.1
GSM3561731_HFD_mouse_liver-2.CEL;HFD;HFD.2
GSM3561732_HFD_mouse_liver-3.CEL;HFD;HFD.3
GSM3561733_HFD_mouse_liver-4.CEL;HFD;HFD.4
GSM3561734_HFD_mouse_liver-5.CEL;HFD;HFD.5
GSM3561735_CPT_mouse_liver-1.CEL;CPT;CPT.1
GSM3561736_CPT_mouse_liver-2.CEL;CPT;CPT.2
GSM3561737_CPT_mouse_liver-3.CEL;CPT;CPT.3
GSM3561738_CPT_mouse_liver-4.CEL;CPT;CPT.4
GSM3561739_CPT_mouse_liver-5.CEL;CPT;CPT.5
