"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-8978868","Fatty acid metabolism","26/248","169/8772",1.1361312006799e-12,7.31668493237858e-10,6.93637996204573e-10,"Acaca/Acly/Fasn/Fads2/Scd1/Cyp2u1/Elovl2/Ehhadh/Dbi/Elovl6/Cyp4a31/Cyp4a12a/Cyp4a12b/Acadl/Ephx2/Acot1/Thrsp/Acsf2/Decr2/Cyp4f14/Hadhb/Slc27a2/Acacb/Acot8/Acadm/Acot2",26
"R-MMU-211945","Phase I - Functionalization of compounds","15/248","108/8772",3.23719064059921e-07,0.000104237538627295,9.88195037656601e-05,"Cyp2u1/Cyp4a31/Cyp4a12a/Cyp2r1/Cyp4a12b/Ces1d/Ces3a/Cyp7b1/Ephx1/Cyp4f14/Cyp4v3/Hsp90ab1/Cyb5r3/Aldh1b1/Cyp39a1",15
"R-MMU-211859","Biological oxidations","20/248","202/8772",9.99767425662122e-07,0.000214616740708802,0.000203461441011941,"Cyp2u1/Cyp4a31/Cyp4a12a/Cyp2r1/Gstm7/Ugdh/Cyp4a12b/Ces1d/Gclc/Ugt2b34/Ces3a/Acsm5/Cyp7b1/Ephx1/Cyp4f14/Cyp4v3/Hsp90ab1/Cyb5r3/Aldh1b1/Cyp39a1",20
"R-MMU-8957322","Metabolism of steroids","14/248","125/8772",1.07987557370776e-05,0.00173859967366949,0.00164823113881711,"Hsd17b11/Tm7sf2/Abcc3/Dhcr7/Cyp2r1/Cyp7b1/Slc27a2/Nsdhl/Stard4/Akr1c19/Fdps/Sc5d/Acot8/Cyp39a1",14
"R-MMU-77289","Mitochondrial Fatty Acid Beta-Oxidation","7/248","36/8772",5.49033756024433e-05,0.00707155477759469,0.00670399112619307,"Dbi/Acadl/Acot1/Acsf2/Hadhb/Acadm/Acot2",7
"R-MMU-9033241","Peroxisomal protein import","9/248","64/8772",7.06797346302042e-05,0.00758629151697525,0.00719197299745937,"Ehhadh/Ephx2/Acot1/Decr2/Slc27a2/Pex26/Lonp2/Acot8/Acot2",9
"R-MMU-211897","Cytochrome P450 - arranged by substrate type","9/248","71/8772",0.000160912277094147,0.0148039294926615,0.0140344542427978,"Cyp2u1/Cyp4a31/Cyp4a12a/Cyp2r1/Cyp4a12b/Cyp7b1/Cyp4f14/Cyp4v3/Cyp39a1",9
"R-MMU-75105","Fatty acyl-CoA biosynthesis","6/248","33/8772",0.000280246196349959,0.0225598188061717,0.0213872097214443,"Acaca/Acly/Fasn/Scd1/Elovl2/Elovl6",6
"R-MMU-191273","Cholesterol biosynthesis","5/248","25/8772",0.000579657545110693,0.0414777176723651,0.039321798381778,"Tm7sf2/Dhcr7/Nsdhl/Fdps/Sc5d",5
"R-MMU-211958","Miscellaneous substrates","5/248","26/8772",0.000701297522675458,0.0435129335170245,0.0412512282443188,"Cyp2u1/Cyp4a31/Cyp4a12a/Cyp4a12b/Cyp4f14",5
"R-MMU-9609507","Protein localization","10/248","105/8772",0.000743233336470916,0.0435129335170245,0.0412512282443188,"Ehhadh/Ephx2/Acot1/Hspd1/Decr2/Slc27a2/Pex26/Lonp2/Acot8/Acot2",10
"R-MMU-211979","Eicosanoids","4/248","16/8772",0.000867876930774678,0.0465760619515744,0.044155142092045,"Cyp4a31/Cyp4a12a/Cyp4a12b/Cyp4f14",4
