"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210855","Lypla1","18777","lysophospholipase 1",0.148449203164293,7.73471967566216,1.0942061537335,0.289818827030694,0.707396452532446,-5.33031444062705
"2","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.230344279237069,5.02425657322227,-2.06921392136793,0.0548163469321552,0.397622361889584,-4.0460593756974
"3","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.122915184006547,7.94189731860252,0.825966434088332,0.420784659111687,0.788545812859631,-5.56860850159075
"4","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0350408134218525,3.28859371178221,0.205511789517403,0.839724643809616,0.967419112723277,-5.87581039728445
"5","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.326122971888435,4.78428154541618,-1.66452275379927,0.115168001196031,0.509204055472636,-4.64692293307408
"6","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.373279563882772,3.44812461483164,-2.53667941572133,0.0218024066318473,0.29933349228262,-3.26854685399851
"7","17211223","Xkr9","381246","X-linked Kx blood group related 9",-0.104133046151174,3.72116344841476,-0.457500215583465,0.65336879979124,0.907382142771886,-5.79437837935561
"8","17211243","Terf1","21749","telomeric repeat binding factor 1",-0.00962637281465906,4.59514312072212,-0.0658818345001737,0.94827561585348,0.99120984289945,-5.89440542079634
"9","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.106092613088948,5.27125643186533,-0.850718058147598,0.407286840713611,0.779534693401351,-5.54912080515264
"10","17211280","Tmem70","70397","transmembrane protein 70",-0.119467055019704,5.34721538215332,-0.913927583698965,0.374116323141123,0.762098229152827,-5.49699651376264
"11","17211286","Ly96","17087","lymphocyte antigen 96",-0.965042905565981,6.93581908868019,-3.3593288423182,0.0039171816230612,0.205247942622602,-1.78055242116999
"12","17211369","Il17a","16171","interleukin 17A",0.0280192862483264,1.8075566622328,0.284696657870857,0.779472687660866,0.950343730358958,-5.85681085232151
"13","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.0171235102464582,7.28565787129692,-0.0740611456675691,0.941865733424279,0.990442351012909,-5.8938430624509
"14","17211443","Mir30c-2","723964","microRNA 30c-2",-0.116577597924526,2.2590974186207,-0.878822653381005,0.392307064865778,0.770720323204092,-5.52636080996207
"15","17211526","Gm5524","433281","predicted gene 5524",0.56507227663725,5.80368217114242,1.39135217672575,0.182874385039359,0.604193108776655,-5.00154728827729
"16","17211541","Pih1d3","74708","PIH1 domain containing 3",-0.096605947115856,1.41113188353216,-0.808129720049216,0.430687786366559,0.794779155435717,-5.58232594964837
"17","17211572","Rab23","19335","RAB23, member RAS oncogene family",0.101850916472821,2.3015925030845,0.729073976903208,0.476333731616122,0.820740692008108,-5.63979506826168
"18","17211587","Dst","13518","dystonin",-0.401290563694131,4.01930314758286,-2.02373775165444,0.0597617999489094,0.409843075171528,-4.11742730445318
"19","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.521052088180293,5.27364882354205,-3.7192141125577,0.00182240665377666,0.165965006196929,-1.11208825693696
