"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.0537517094112285,7.95352699523571,-0.344682621354321,0.734485481107441,0.899857365504024,-6.30300928493211
"2","17211000","Rrs1","59014","ribosome biogenesis regulator 1",-0.0304140124535208,3.45393627186157,-0.177941619451948,0.860834674601539,0.949069892717338,-6.34755802880169
"3","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.127049238214338,4.8657451516139,-0.648163397626081,0.525384808712253,0.789985220138068,-6.15072336556356
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.422577647577138,3.59222089233626,-2.86289294051356,0.0106355126392978,0.139120865113609,-2.94025111225298
"5","17211223","Xkr9","381246","X-linked Kx blood group related 9",-0.0228464481691613,3.75092090518587,-0.0940869995766432,0.926120591311639,0.975104651130114,-6.35925733006616
"6","17211243","Terf1","21749","telomeric repeat binding factor 1",0.126853690301653,4.73866004275529,0.810561731840599,0.42862166313296,0.72918568459713,-6.03285340490855
"7","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.185530520778171,5.32998926668582,-1.14528295570517,0.267680768614575,0.599056961064594,-5.71526240907111
"8","17211286","Ly96","17087","lymphocyte antigen 96",-1.1357364516951,6.98255572929577,-3.34459985975315,0.00376548461230365,0.0788776864066823,-1.97064050828015
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",0.0390512988471352,7.34479622925063,0.170747329238893,0.866402459334272,0.949973607743466,-6.3488438562041
"10","17211526","Gm5524","433281","predicted gene 5524",0.371812863967557,5.78752304363522,0.882990578397308,0.38934019569802,0.704365955279834,-5.97244884500189
"11","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.253933166586344,5.34522783734876,-1.67577275879625,0.111750943008671,0.41098827474828,-5.03053208944871
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",0.155072805447392,3.18445031224053,0.880451008532446,0.390676037842539,0.706045291919955,-5.97464677964274
