"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051082","unfolded protein binding","11/452","97/22710",3.67465880832167e-06,0.00209272745240023,0.00187651974289299,"270166/12462/12464/12461/12465/21454/67838/63958/105675/22027/14828",11
"GO:0043021","ribonucleoprotein complex binding","13/452","147/22710",8.03846797905969e-06,0.00209272745240023,0.00187651974289299,"18712/217337/15381/11810/13207/66661/13665/71974/72322/16418/56463/67871/14828",13
"GO:0044389","ubiquitin-like protein ligase binding","20/452","325/22710",9.30101089955656e-06,0.00209272745240023,0.00187651974289299,"22433/226144/80285/67443/20610/56489/12461/67338/217365/209200/71472/18412/22154/20846/21454/17318/56228/56044/66352/14828",20
"GO:0003743","translation initiation factor activity","7/452","47/22710",3.73351218664948e-05,0.006300301814971,0.00564939344032488,"223691/226982/55944/13665/13669/16418/217715",7
"GO:0072509","divalent inorganic cation transmembrane transporter activity","5/452","25/22710",0.000116797102128294,0.0148836413009059,0.0133459551626057,"213053/69048/30791/338365/14977",5
"GO:0035325","Toll-like receptor binding","4/452","14/22710",0.00013229903378583,0.0148836413009059,0.0133459551626057,"17874/117149/17087/24088",4
"GO:0051879","Hsp90 protein binding","6/452","46/22710",0.000286998617756299,0.0276748667122145,0.0248156699563717,"20867/13666/13088/11865/71472/217737",6
"GO:0031625","ubiquitin protein ligase binding","16/452","306/22710",0.000457506403542969,0.0357442659980737,0.0320513886142571,"22433/226144/67443/56489/12461/67338/217365/71472/18412/22154/21454/17318/56228/56044/66352/14828",16
"GO:0030170","pyridoxal phosphate binding","6/452","51/22710",0.000507518058794335,0.0357442659980737,0.0320513886142571,"13195/110095/107869/26912/71760/76282",6
"GO:0070279","vitamin B6 binding","6/452","52/22710",0.000564206336517193,0.0357442659980737,0.0320513886142571,"13195/110095/107869/26912/71760/76282",6
"GO:0005385","zinc ion transmembrane transporter activity","4/452","20/22710",0.000582499149598238,0.0357442659980737,0.0320513886142571,"213053/69048/30791/14977",4
"GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups","13/452","233/22710",0.000845551133132908,0.0418579602757459,0.0375334536585636,"241447/69612/217127/66176/79235/18107/67512/68396/20652/26912/18519/54326/270627",13
"GO:0008135","translation factor activity, RNA binding","7/452","77/22710",0.000856010300110156,0.0418579602757459,0.0375334536585636,"223691/226982/55944/13665/13669/16418/217715",7
"GO:0035257","nuclear hormone receptor binding","10/452","150/22710",0.000868165102015471,0.0418579602757459,0.0375334536585636,"320165/20848/13207/233908/20586/20846/20181/216154/22200/270627",10
"GO:0016746","transferase activity, transferring acyl groups","14/452","267/22710",0.000991442564028794,0.0446149153812957,0.0400055771450215,"241447/69612/21816/217127/66176/79235/18107/67512/68396/20652/26912/18519/54326/270627",14
"GO:0043531","ADP binding","5/452","40/22710",0.00113218095164841,0.0477638838976673,0.0428292136314366,"67426/17886/19082/19139/360013",5
"GO:0019902","phosphatase binding","12/452","213/22710",0.00121716722167692,0.04832869850776,0.0433356750751844,"72590/20848/78388/13666/232341/13716/29875/20846/26941/384783/22027/22352",12
"GO:0043022","ribosome binding","6/452","62/22710",0.00144195568623422,0.0540733382337833,0.0484868140107999,"217337/66661/13665/71974/16418/14828",6
"GO:0004857","enzyme inhibitor activity","17/452","384/22710",0.00192295784431501,0.0672982919073298,0.0603454469344478,"80285/68054/331535/59083/15381/232341/68034/100038854/385643/107702/209200/217847/69550/100336/18519/20717/103844",17
"GO:0003724","RNA helicase activity","6/452","66/22710",0.00199402346392088,0.0672982919073298,0.0603454469344478,"67040/13207/72198/67755/53975/71986",6
"GO:0140098","catalytic activity, acting on RNA","16/452","357/22710",0.0022848651947121,0.0734420955443174,0.0658545106245341,"54632/67040/226414/13207/72198/12909/67755/66132/104458/107508/53975/214290/56463/71986/11792/72068",16
"GO:0001972","retinoic acid binding","3/452","15/22710",0.00298195238069213,0.0908944258682574,0.0815037736830379,"79235/232174/20181",3
"GO:0051427","hormone receptor binding","10/452","178/22710",0.00309714339995544,0.0908944258682574,0.0815037736830379,"320165/20848/13207/233908/20586/20846/20181/216154/22200/270627",10
"GO:0003729","mRNA binding","13/452","272/22710",0.00332539531190826,0.0935267431474197,0.083864136155581,"77411/15381/11810/13207/19205/55944/12465/15388/100336/13669/23983/52502/72322",13
