"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050662","coenzyme binding","26/588","288/22710",3.88680308443276e-08,3.00449878426653e-05,2.61847786740734e-05,"107476/14104/110208/110095/70266/13167/18984/14711/70789/11363/71760/231086/22235/110948/17436/109754/112405/26912/14629/15108/654795/53415/11430/14263/26876/97212",26
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","21/588","203/22710",7.97538148824636e-08,3.08248494520722e-05,2.68644429077772e-05,"56473/666168/20249/18984/71519/244209/277753/13088/13077/13118/56050/13123/319660/112405/64385/235293/337924/102294/13119/432720/14263",21
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","11/588","56/22710",1.65369310548881e-07,4.26101590180949e-05,3.71355644741346e-05,"14104/73166/13360/68002/67442/11363/225791/233016/19044/26378/11430",11
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","16/588","140/22710",7.33505130628745e-07,0.000141749866494005,0.000123537706211157,"14104/110208/74147/114664/277753/231086/22235/225791/13118/17436/17252/15108/18194/432720/26876/97212",16
"GO:0004497","monooxygenase activity","16/588","143/22710",9.77493589871334e-07,0.000151120508994108,0.000131704399477401,"666168/71519/244209/277753/13088/13077/13118/56050/13123/319660/64385/337924/102294/13119/432720/14263",16
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","16/588","149/22710",1.69608594582981e-06,0.000218512406021074,0.000190437720233523,"14104/110208/74147/114664/277753/231086/22235/225791/13118/17436/17252/15108/18194/432720/26876/97212",16
"GO:0005506","iron ion binding","16/588","166/22710",6.96386307646701e-06,0.000769009451158428,0.000670206371269005,"20249/71519/244209/277753/13088/13077/107766/56050/13123/319660/112405/64385/235293/102294/20135/13119",16
"GO:0016835","carbon-oxygen lyase activity","10/588","67/22710",8.25151410691016e-06,0.000797302550580194,0.000694864345845066,"14104/74147/52665/71760/231086/30963/23831/57874/76355/97212",10
"GO:0016836","hydro-lyase activity","9/588","55/22710",1.08157551892632e-05,0.000928953195700046,0.000809600388436072,"14104/74147/52665/231086/30963/23831/57874/76355/97212",9
"GO:0033218","amide binding","25/588","371/22710",1.47026330135663e-05,0.00113651353194868,0.000990493171440257,"107476/14104/68312/13167/16323/17167/14711/11363/13809/12751/17380/231086/18708/110948/15510/75751/16835/15007/15108/15925/15516/97212/67738/71764/14289",25
