"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu01212","Fatty acid metabolism","15/277","60/8643",3.85932101997767e-10,1.08446920661373e-07,9.871736924785e-08,"107476/14104/56473/74147/20249/54326/170439/11363/235674/231086/30963/57874/12894/11430/97212",15
"mmu00071","Fatty acid degradation","13/277","50/8643",3.48945328045298e-09,4.90268185903643e-07,4.46282709026354e-07,"74147/666168/277753/11363/235674/231086/13118/12894/72535/13119/11430/26876/97212",13
"mmu01040","Biosynthesis of unsaturated fatty acids","10/277","32/8643",3.36211107486213e-08,3.14917737345419e-06,2.86664207435613e-06,"56473/20249/54326/170439/235674/26897/30963/171210/57874/11430",10
"mmu03320","PPAR signaling pathway","14/277","87/8643",5.7577040273088e-07,4.04478707918443e-05,3.68190020693694e-05,"56473/74147/666168/13167/20249/277753/11363/235674/13118/17436/12894/14933/13119/11430",14
"mmu00062","Fatty acid elongation","8/277","29/8643",2.4036903692306e-06,0.00013508739875076,0.00012296773888906,"54326/170439/26897/231086/30963/171210/57874/97212",8
"mmu00380","Tryptophan metabolism","10/277","51/8643",3.88353372022388e-06,0.000181878829230485,0.000165561174388492,"74147/70266/71562/70789/21743/13077/107766/72535/266645/97212",10
"mmu01200","Carbon metabolism","13/277","120/8643",0.000115701891249014,0.00464460449156757,0.00422790369526473,"225913/18770/68263/110208/230163/74147/21351/14751/17436/18648/12974/11430/97212",13
"mmu00830","Retinol metabolism","11/277","93/8643",0.00017747658959338,0.00623386520946749,0.00567458043041993,"666168/67442/277753/13088/13077/100727/13118/17252/337924/13119/26876",11
"mmu00100","Steroid biosynthesis","5/277","20/8643",0.000340315935946972,0.0106254197778999,0.00967213712691394,"73166/13360/244209/235293/18194",5
"mmu04976","Bile secretion","9/277","72/8643",0.000454096094437943,0.0127601002537062,0.0116153000998337,"11833/76408/26357/629203/13849/20493/16835/20525/27409",9
"mmu00590","Arachidonic acid metabolism","10/277","89/8643",0.000528801140993974,0.0135084655108461,0.0122965241398599,"666168/71519/277753/13088/170716/53357/13850/13118/64385/13119",10
"mmu05204","Chemical carcinogenesis","10/277","95/8643",0.000887890818667701,0.0207914433371353,0.0189260937663378,"70266/68312/225884/13088/13077/629203/100727/13849/337924/26876",10
"mmu00010","Glycolysis / Gluconeogenesis","8/277","66/8643",0.00115173625423069,0.0248952221106789,0.022661693099438,"18770/68263/230163/14377/14751/72535/18648/26876",8
"mmu04922","Glucagon signaling pathway","10/277","104/8643",0.00178211203939545,0.0357695345050087,0.0325603929002327,"107476/68263/110095/12315/14377/20526/12894/20525/18648/18795",10
"mmu00983","Drug metabolism - other enzymes","9/277","88/8643",0.00195231546735528,0.036573376421789,0.0332921163906901,"102022/68312/225884/18103/100727/171567/104158/234671/20135",9
"mmu00500","Starch and sucrose metabolism","5/277","33/8643",0.00370656213010651,0.0612672916799959,0.0557705633198689,"110095/74185/14377/14751/27357",5
"mmu00640","Propanoate metabolism","5/277","33/8643",0.00370656213010651,0.0612672916799959,0.0557705633198689,"107476/74147/52665/11430/97212",5
"mmu02010","ABC transporters","6/277","48/8643",0.00406410544767011,0.0634452017108501,0.0577530774142595,"76408/26357/217258/11305/11303/27409",6
"mmu00980","Metabolism of xenobiotics by cytochrome P450","7/277","67/8643",0.00541564934641089,0.0760898733170729,0.0692633047988339,"68312/225884/13077/629203/100727/13849/26876",7
"mmu05230","Central carbon metabolism in cancer","7/277","67/8643",0.00541564934641089,0.0760898733170729,0.0692633047988339,"228026/68263/20526/18708/20525/18648/14184",7
"mmu00620","Pyruvate metabolism","5/277","38/8643",0.0068836307541733,0.090934715458713,0.0827763096327674,"107476/18770/68263/17436/72535",5
"mmu04750","Inflammatory mediator regulation of TRP channels","10/277","126/8643",0.00711944391491703,0.090934715458713,0.0827763096327674,"18048/666168/16176/12315/277753/53357/18708/13118/13119/18795",10
"mmu00592","alpha-Linolenic acid metabolism","4/277","25/8643",0.00767546349148696,0.093774140917732,0.0853609898595575,"56473/235674/53357/11430",4
