"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.10715510282503,7.95352699523571,0.687131667769948,0.501103150732129,0.806151712147203,-5.70415132109024
"2","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0328123539416771,3.45393627186157,0.191973466418983,0.849997092206119,0.956237952543052,-5.9152244271605
"3","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.321277949270987,4.8657451516139,-1.6390543548991,0.119249117538927,0.456791216864266,-4.70978118109801
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.39143026879402,3.59222089233626,-2.65187465465543,0.0165972086857785,0.218103178840215,-3.06448741740617
"5","17211223","Xkr9","381246","X-linked Kx blood group related 9",-0.132129997160402,3.75092090518587,-0.544142130752441,0.593284485108017,0.85152775612211,-5.78884875520024
"6","17211243","Terf1","21749","telomeric repeat binding factor 1",-0.0404225458387018,4.73866004275529,-0.258289441028561,0.799229625144056,0.946468607281684,-5.90056557179339
"7","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.150747749237427,5.32998926668582,-0.93056833500171,0.364874581127548,0.712736751071125,-5.51790776681279
"8","17211286","Ly96","17087","lymphocyte antigen 96",-0.889755913162524,6.98255572929577,-2.62021835958191,0.0177305005422549,0.222021126035008,-3.12156088521328
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.00492447238912597,7.34479622925063,-0.0215316912158381,0.98306778843559,0.997319379091651,-5.93312581908914
"10","17211526","Gm5524","433281","predicted gene 5524",0.573357307548413,5.78752304363522,1.36162341242898,0.190777799754865,0.557703197798813,-5.0690527846378
"11","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.473835499358221,5.34522783734876,-3.12696696004509,0.00603719658358007,0.179053686793209,-2.18281116801706
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",0.177191573504343,3.18445031224053,1.00603390223875,0.328256664067309,0.688098556482593,-5.44988839772912
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",-0.0126905522424465,7.25546835648707,-0.083335646511546,0.93454083717792,0.982832533337916,-5.92993457877893
"14","17211832","Cnnm3","94218","cyclin M3",0.292975978677764,2.8249231896254,2.19271547164405,0.0422651778342897,0.30722556713812,-3.86271355303014
"15","17212087","Npas2","18143","neuronal PAS domain protein 2",0.274138124216015,2.35559975397103,0.968611838608262,0.34607934473997,0.700600042520639,-5.48420761377555
"16","17212114","Rpl31","114641","ribosomal protein L31",0.182305997111079,3.40781958876794,1.16905090199602,0.258231075425902,0.631932945076191,-5.28725263590468
"17","17212123","Cnot11","52846","CCR4-NOT transcription complex, subunit 11",-0.375951050558665,4.27221311958918,-2.30514469115799,0.0337918671913901,0.28078651365273,-3.6737972928985
"18","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.8154865317163,7.59138958736749,-1.30436091858715,0.209188725379003,0.576206737354303,-5.13675721321541
"19","17212318","Mrps9","69527","mitochondrial ribosomal protein S9",0.267534490467465,4.88642812238306,2.07559996275011,0.0531351519470986,0.333906402867024,-4.05413018261952
"20","17212346","AI597479","98404","expressed sequence AI597479",-0.149328064418067,3.23502202888532,-0.915910937160804,0.372298145577938,0.718193669822243,-5.53056845273293
"21","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.329440025834876,3.66850683166487,1.61878004996111,0.123570247163265,0.460677878503496,-4.73769248371432
"22","17212423","Ercc5","22592","excision repair cross-complementing rodent repair deficiency, complementation group 5",0.149156258590778,3.71073379525714,1.05816821671785,0.304523197995298,0.668767770964014,-5.4001730254796
"23","17212461","Col3a1","12825","collagen, type III, alpha 1",0.0482279996622665,3.81668571313217,0.290067848652144,0.775210558241583,0.937276641806793,-5.89202317819084
"24","17212719","Cavin2","20324","caveolae associated 2",-0.296677914237526,3.95622440548853,-1.42131138810893,0.172992677501059,0.54058194299701,-4.99604066845798
"25","17212750","Stat1","20846","signal transducer and activator of transcription 1",-0.538272205391656,5.86248025111144,-3.24653674193461,0.00466014938835309,0.165598008630339,-1.95546373200248
"26","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",0.394911879942405,5.9525309333091,3.06313406369304,0.00692811866751304,0.185728525742539,-2.30348616742427
"27","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",0.218860113782729,4.41411007480647,1.34062033122888,0.197374412523668,0.562195831667559,-5.09415561516542
"28","17212874","Coq10b","67876","coenzyme Q10B",-0.134982699739264,5.33323237910798,-0.497403745962737,0.625163572402679,0.868242258996153,-5.81242749471818
"29","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",-0.0276431197877267,5.46854675492171,-0.0878140993358318,0.931032373642053,0.982355574232043,-5.92955725853687
"30","17212888","Mob4","19070","MOB family member 4, phocein",-0.0333873190271783,4.71726003100593,-0.191547260193007,0.850325832948511,0.956237952543052,-5.91530474755538
"31","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.369295961931638,4.79060603720851,1.93594456477222,0.0693795083131857,0.364962794016871,-4.27444370227847
"32","17212970","Sgo2a","68549","shugoshin 2A",-0.126028240109431,1.72691571382043,-0.945495527560834,0.357418489780373,0.707854404235319,-5.50482871096952
"33","17212982","Aox1","11761","aldehyde oxidase 1",-0.363589452531138,6.86871210642882,-0.829741659123681,0.417981688974423,0.746059416066425,-5.60130580177226
"34","17213021","Aox3","71724","aldehyde oxidase 3",0.46046673299011,9.21491692750091,1.77979633679372,0.0926713106040575,0.415253419468144,-4.5094025027741
"35","17213139","Bzw1","66882","basic leucine zipper and W2 domains 1",-0.130172016927077,7.88377365391404,-0.786187293354194,0.442388290703836,0.765034507466492,-5.63462092871695
